ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
156,"Bariire, Lower Shabelle, Somalia",7-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom191-february-7-2019/,
157," Gandarshe, Lower Shabelle, Somalia",6-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom190-february-6-2019/,
158,"Leego, Bay, Somalia",5-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom189-february-5-2019/,
159," Gandarshe, Lower Shabelle, Somalia",3-Feb-19,Yes,al-Shabaab vehicle,No,https://airwars.org/civilian-casualties/ussom188-february-3-2019/,
160," Gandarshe,  Lower Shabelle, Somalia",1-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom186-february-1-2019/,
161,"Shebeeley, Hiiraan, Somalia",30-Jan-19,Yes,al-Shabaab encampment,No,https://airwars.org/civilian-casualties/ussom185-january-30-2019/,
162,"Jilib, Middle Juba , Somalia",23-Jan-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom183-january-23-2019/,
163," Jilib, Middle Juba, Somalia",23-Jan-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom184-january-23-2019/,
164,"Radio Andalus, Jilib, Middle Juba, Somalia",20-Jan-19,No,al-Shabaab radio station ,No,https://airwars.org/civilian-casualties/ussom182-c-january-20-2019/,
165,"Between Araare crossing and Muse Haji, near Baar Sanguni, Lower Juba, Somalia",19-Jan-19,Yes,"al-Shabaab members in retaliation of an attack on Somali forces, allegedly planning additional attacks",Maybe,https://airwars.org/civilian-casualties/ussom181-january-19-2019/,
